target_chembl_id,molecule_chembl_id,canonical_smiles,standard_type,assay_type,pchembl_value,RDKit_Molecule,Gasteiger/Marsili Partial Charges,BalabanJ,BertzCT,Ipc,HallKierAlpha,Kappa1 - Kappa3,"Chi0, Chi1",Chi0n - Chi4n,Chi0v - Chi4v,MolLogP,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAmideBonds,"Num{Aromatic,Saturated,Aliphatic}Rings","Num{Aromatic,Saturated,Aliphatic}{Hetero,Carbo}cycles",RingCount,FractionCSP3,NumSpiroAtoms,NumBridgeheadAtoms,TPSA,LabuteASA,PEOE_VSA1 - PEOE_VSA14,SMR_VSA1 - SMR_VSA10,SlogP_VSA1 - SlogP_VSA12,EState_VSA1 - EState_VSA11,VSA_EState1 - VSA_EState10,MQNs,Topliss fragments,Autocorr2D,BCUT2D
CHEMBL205,CHEMBL3326412,CCCCCc1ccc(-c2cn(-c3c(F)c(F)c(S(N)(=O)=O)c(F)c3F)nn2)cc1,Ki,B,6.19,<rdkit.Chem.rdchem.Mol object at 0x145308be0>,777,1.9700961263547037,1148.985355202828,4431614.567335076,-2.79,777,777,777,777,3.870800000000001,101.22920000000002,442.43800000000005,442.108659696,30,424.2940000000001,2,6,5,1,11,7,160,777,777,777,3,0.2631578947368421,777,777,90.87,169.92844531105288,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3326413,NS(=O)(=O)c1c(F)c(F)c(-n2cc(CCBr)nn2)c(F)c1F,Ki,B,7.01,<rdkit.Chem.rdchem.Mol object at 0x145308c40>,777,2.7300484532531826,810.6874506225031,64667.32774636355,-1.53,777,777,777,777,1.4085000000000005,70.0622,403.155,401.9409214440001,22,396.09900000000005,2,6,5,1,12,4,120,777,777,777,2,0.2,777,777,90.87,129.6440723674404,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3326414,NS(=O)(=O)c1c(F)c(F)c(-n2cc(CCCCl)nn2)c(F)c1F,Ki,B,7.25,<rdkit.Chem.rdchem.Mol object at 0x145308ca0>,777,2.631613385942763,826.9467611763824,107876.31571379198,-1.72,777,777,777,777,1.6425000000000005,71.60520000000001,372.731,372.00708708800005,23,363.659,2,6,5,1,12,5,126,777,777,777,2,0.2727272727272727,777,777,90.87,132.4447331030773,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3326415,NS(=O)(=O)c1c(F)c(F)c(-n2cc(CCCCCl)nn2)c(F)c1F,Ki,B,7.33,<rdkit.Chem.rdchem.Mol object at 0x145308d00>,777,2.528875245173185,843.1781943534866,175543.0019305953,-1.72,777,777,777,777,2.0326000000000004,76.22220000000002,386.75800000000004,386.02273715200005,24,375.67,2,6,5,1,12,6,132,777,777,777,2,0.3333333333333333,777,777,90.87,138.80967521747394,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3326416,COC(=O)c1cn(-c2c(F)c(F)c(S(N)(=O)=O)c(F)c2F)nn1,Ki,B,6.35,<rdkit.Chem.rdchem.Mol object at 0x145308d60>,777,2.7529316949741274,882.8201557920786,101899.20427425239,-2.5400000000000005,777,777,777,777,0.25770000000000015,63.90369999999999,354.24100000000004,354.00458855200003,23,348.19300000000004,2,8,7,1,13,3,124,777,777,777,2,0.1,777,777,117.16999999999999,125.05159209134969,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3326417,NS(=O)(=O)c1c(F)c(F)c(-n2cc(CO)nn2)c(F)c1F,Ki,B,6.91,<rdkit.Chem.rdchem.Mol object at 0x145308dc0>,777,2.8162705321743524,791.6356363004069,40850.165844558396,-2.05,777,777,777,777,-0.03659999999999958,58.486999999999995,326.231,326.009673932,21,320.183,3,7,6,2,12,3,114,777,777,777,2,0.1111111111111111,777,777,111.10000000000001,114.20581639959846,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3326418,CC(C)(C)OC(=O)NCc1cn(-c2c(F)c(F)c(S(N)(=O)=O)c(F)c2F)nn1,Ki,B,7.57,<rdkit.Chem.rdchem.Mol object at 0x145308e20>,777,2.346090292387695,1004.0782230252245,722655.7062928093,-2.7399999999999998,777,777,777,777,1.4958,85.6379,425.36400000000003,425.0780878400001,28,410.244,3,9,7,2,14,4,154,777,777,777,2,0.35714285714285715,777,777,129.2,156.06122273254414,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3326419,NCc1cn(-c2c(F)c(F)c(S(N)(=O)=O)c(F)c2F)nn1,Ki,B,6.85,<rdkit.Chem.rdchem.Mol object at 0x145308e80>,777,2.8162705321743524,790.7808833281335,40850.165844558396,-2.0500000000000007,777,777,777,777,-0.07020000000000015,60.45559999999999,325.247,325.0256583440001,21,318.19100000000003,4,7,6,2,12,3,114,777,777,777,2,0.1111111111111111,777,777,116.88999999999999,114.75147334441515,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3326429,Cc1cccn(O)c1=S,Ki,B,4.32,<rdkit.Chem.rdchem.Mol object at 0x145308ee0>,777,3.4297820841385587,242.75552478320782,109.737515096202,-0.8299999999999998,777,777,777,777,1.76331,37.1875,141.195,141.024834844,9,134.13899999999998,1,2,3,1,3,0,48,777,777,777,1,0.16666666666666666,777,777,25.16,58.33301720031428,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3326430,Cc1ccn(O)c(=S)c1,Ki,B,4.42,<rdkit.Chem.rdchem.Mol object at 0x145308f40>,777,3.3426403430450002,266.00552478320776,104.20091930659319,-0.8300000000000001,777,777,777,777,1.76331,37.18750000000001,141.195,141.024834844,9,134.13899999999998,1,2,3,1,3,0,48,777,777,777,1,0.16666666666666666,777,777,25.16,58.33301720031427,777,777,777,777,777,777,777,777,777
